T (s),0.04,0.05,0.075,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.5,6,6.5,7
0.3,0.749,0.754,0.777,0.805,0.816,0.827,0.833,0.842,0.85,0.864,0.875,0.886,0.896,0.904,0.932,0.95,0.97,0.988,1,0.989,0.973,0.959,0.946,0.929,0.917,0.902,0.887,0.873,0.858,0.831,0.8,0.777,0.751,0.73,0.71,0.696,0.678,0.664,0.647,0.631,0.609,0.591,0.568,0.559,0.538,0.533,0.527,0.522,0.508,0.496,0.481,0.465,0.451,0.442,0.432,0.42,0.411,0.396,0.373,0.363,0.356,0.354,0.35,0.35,0.36,0.357,0.37,0.369
0.32,0.735,0.741,0.762,0.79,0.8,0.809,0.816,0.824,0.832,0.846,0.857,0.869,0.879,0.887,0.916,0.935,0.956,0.976,0.989,1,0.99,0.979,0.966,0.95,0.938,0.923,0.908,0.894,0.879,0.854,0.823,0.8,0.774,0.752,0.732,0.717,0.698,0.683,0.667,0.65,0.628,0.609,0.585,0.577,0.554,0.549,0.542,0.537,0.524,0.514,0.499,0.484,0.469,0.459,0.449,0.437,0.428,0.414,0.391,0.381,0.374,0.372,0.368,0.367,0.378,0.373,0.387,0.385
0.34,0.717,0.723,0.743,0.772,0.781,0.79,0.796,0.804,0.812,0.826,0.838,0.85,0.86,0.869,0.897,0.916,0.939,0.959,0.973,0.99,1,0.991,0.979,0.964,0.953,0.938,0.923,0.909,0.894,0.87,0.84,0.817,0.791,0.769,0.749,0.734,0.715,0.7,0.684,0.667,0.644,0.624,0.6,0.59,0.567,0.561,0.555,0.549,0.536,0.526,0.512,0.497,0.482,0.472,0.462,0.451,0.442,0.428,0.406,0.395,0.388,0.387,0.383,0.382,0.392,0.387,0.4,0.399
0.36,0.702,0.709,0.727,0.755,0.765,0.774,0.78,0.788,0.796,0.81,0.822,0.835,0.844,0.854,0.882,0.901,0.925,0.944,0.959,0.979,0.991,1,0.991,0.978,0.968,0.954,0.94,0.927,0.912,0.888,0.86,0.837,0.81,0.79,0.769,0.754,0.734,0.719,0.703,0.686,0.662,0.642,0.617,0.608,0.584,0.579,0.572,0.567,0.553,0.544,0.53,0.516,0.5,0.49,0.479,0.468,0.459,0.445,0.423,0.412,0.405,0.404,0.399,0.398,0.409,0.404,0.416,0.414
0.38,0.689,0.697,0.713,0.742,0.751,0.76,0.766,0.774,0.782,0.796,0.808,0.821,0.831,0.84,0.868,0.888,0.911,0.931,0.946,0.966,0.979,0.991,1,0.992,0.983,0.969,0.956,0.943,0.928,0.906,0.877,0.855,0.828,0.807,0.786,0.77,0.749,0.734,0.718,0.7,0.676,0.656,0.631,0.621,0.598,0.593,0.585,0.58,0.566,0.558,0.543,0.529,0.515,0.505,0.494,0.483,0.475,0.461,0.436,0.425,0.419,0.417,0.413,0.41,0.421,0.415,0.428,0.426
0.4,0.674,0.68,0.695,0.724,0.733,0.742,0.748,0.756,0.763,0.777,0.79,0.802,0.813,0.822,0.851,0.871,0.894,0.914,0.929,0.95,0.964,0.978,0.992,1,0.992,0.98,0.967,0.954,0.939,0.917,0.889,0.867,0.84,0.819,0.798,0.781,0.76,0.745,0.73,0.712,0.688,0.668,0.643,0.634,0.611,0.605,0.597,0.592,0.578,0.569,0.554,0.541,0.527,0.517,0.507,0.496,0.488,0.474,0.448,0.437,0.43,0.428,0.423,0.421,0.431,0.425,0.437,0.436
0.42,0.662,0.669,0.681,0.708,0.717,0.727,0.732,0.74,0.746,0.761,0.774,0.787,0.798,0.807,0.837,0.858,0.882,0.902,0.917,0.938,0.953,0.968,0.983,0.992,1,0.993,0.983,0.971,0.958,0.937,0.908,0.887,0.86,0.839,0.817,0.801,0.78,0.766,0.751,0.733,0.71,0.69,0.664,0.654,0.632,0.625,0.616,0.612,0.598,0.589,0.575,0.56,0.547,0.536,0.526,0.514,0.505,0.49,0.465,0.453,0.445,0.443,0.438,0.435,0.444,0.437,0.45,0.448
0.44,0.646,0.653,0.665,0.691,0.699,0.708,0.714,0.721,0.728,0.743,0.756,0.77,0.78,0.79,0.821,0.842,0.866,0.887,0.902,0.923,0.938,0.954,0.969,0.98,0.993,1,0.994,0.984,0.971,0.951,0.922,0.901,0.875,0.854,0.833,0.817,0.796,0.782,0.767,0.75,0.727,0.707,0.681,0.671,0.648,0.64,0.631,0.626,0.613,0.604,0.59,0.575,0.56,0.551,0.54,0.528,0.519,0.504,0.479,0.467,0.459,0.456,0.451,0.448,0.455,0.447,0.459,0.458
0.46,0.631,0.638,0.648,0.673,0.681,0.69,0.696,0.703,0.71,0.724,0.738,0.752,0.762,0.772,0.804,0.826,0.851,0.872,0.887,0.908,0.923,0.94,0.956,0.967,0.983,0.994,1,0.994,0.983,0.963,0.936,0.915,0.889,0.868,0.847,0.831,0.811,0.797,0.782,0.765,0.742,0.722,0.697,0.687,0.664,0.656,0.646,0.641,0.628,0.62,0.605,0.59,0.576,0.565,0.555,0.542,0.533,0.517,0.492,0.48,0.472,0.469,0.463,0.46,0.467,0.458,0.47,0.469
0.48,0.62,0.624,0.631,0.655,0.662,0.673,0.679,0.686,0.692,0.707,0.72,0.734,0.745,0.755,0.787,0.81,0.835,0.857,0.873,0.894,0.909,0.927,0.943,0.954,0.971,0.984,0.994,1,0.995,0.976,0.949,0.93,0.903,0.882,0.861,0.846,0.825,0.812,0.796,0.779,0.755,0.737,0.712,0.703,0.68,0.671,0.661,0.657,0.643,0.635,0.619,0.603,0.589,0.578,0.567,0.554,0.545,0.529,0.505,0.493,0.484,0.481,0.474,0.471,0.479,0.47,0.481,0.48
0.5,0.604,0.608,0.614,0.637,0.644,0.655,0.662,0.669,0.676,0.69,0.704,0.718,0.729,0.739,0.77,0.794,0.819,0.841,0.858,0.879,0.894,0.912,0.928,0.939,0.958,0.971,0.983,0.995,1,0.984,0.958,0.939,0.912,0.892,0.87,0.855,0.836,0.822,0.806,0.789,0.765,0.747,0.724,0.715,0.691,0.683,0.672,0.668,0.655,0.647,0.63,0.613,0.599,0.588,0.577,0.563,0.554,0.539,0.515,0.502,0.493,0.49,0.483,0.478,0.487,0.477,0.489,0.488
